model,category,video,time_elapsed
tiny,1,audios/video1.mp3,6.40608308300034
tiny,1,audios/video2.mp3,6.184718757000155
tiny,2,audios/video3.mp3,30.390769686999192
tiny,2,audios/video4.mp3,32.92487149599947
tiny,3,audios/video5.mp3,111.89074927500042
tiny,3,audios/video6.mp3,140.50946885999838
base,1,audios/video1.mp3,5.306962840999404
base,1,audios/video2.mp3,8.78597418499885
base,2,audios/video3.mp3,39.48250756500056
base,2,audios/video4.mp3,38.30084680499931
base,3,audios/video5.mp3,194.42204385100013
base,3,audios/video6.mp3,215.59020195700032
small,1,audios/video1.mp3,11.007505202000177
small,1,audios/video2.mp3,26.315743918999942
small,2,audios/video3.mp3,121.50735297900064
small,2,audios/video4.mp3,115.91130032600086
small,3,audios/video5.mp3,473.1749766609992
small,3,audios/video6.mp3,512.2366672420012
medium,1,audios/video1.mp3,36.29455185500046
medium,1,audios/video2.mp3,73.0436876799995
medium,2,audios/video3.mp3,287.7402308460005
medium,2,audios/video4.mp3,307.46160247399894
medium,3,audios/video5.mp3,1393.7380750350003
medium,3,audios/video6.mp3,1289.8588097089996
large,1,audios/video1.mp3,59.15878584600068
large,1,audios/video2.mp3,136.65246381500037
large,2,audios/video3.mp3,574.3020414349994
